Date,Return
2023-12-31,-0.0302
2023-09-30,-0.0137
2023-06-30,-0.0198
2023-03-31,-0.0181
2022-12-31,-0.035
2022-09-30,0.0057
2022-06-30,0.0323
2022-03-31,0.0533
2021-12-31,0.0615
2021-09-30,0.0523
2021-06-30,0.0359
2021-03-31,0.0172
2020-12-31,0.0115
2020-09-30,0.0074
2020-06-30,-0.0099
2020-03-31,0.0071
2019-12-31,0.0155
2019-09-30,0.0141
2019-06-30,0.0151
2019-03-31,0.018
2018-12-31,0.0137
2018-09-30,0.0167
2018-06-30,0.0181
2018-03-31,0.017
2017-12-31,0.018
2017-09-30,0.017
2017-06-30,0.0175
2017-03-31,0.0155
2016-12-31,0.0173
2016-09-30,0.0177
2016-06-30,0.0203
2016-03-31,0.0221
2015-12-31,0.0291
2015-09-30,0.0309
2015-06-30,0.0314
2015-03-31,0.0357
2014-12-31,0.0304
2014-09-30,0.0263
2014-06-30,0.0291
2014-03-31,0.0274
2013-12-31,0.0253
2013-09-30,0.0259
2013-06-30,0.0287
2013-03-31,0.0257
2012-12-31,0.0254
2012-09-30,0.0234
2012-06-30,0.0268
2012-03-31,0.0259
2011-12-31,0.0296
2011-09-30,0.033
2011-06-30,0.0394
2011-03-31,0.0336
2010-12-31,0.0462
2010-09-30,0.0386
2010-06-30,0.0331
2010-03-31,0.0076
2009-12-31,-0.0211
2009-09-30,-0.0332
2009-06-30,-0.052
2009-03-31,-0.0733
2008-12-31,-0.0829
2008-09-30,-0.0017
2008-06-30,0.0056
2008-03-31,0.016
2007-12-31,0.0321
2007-09-30,0.0356
2007-06-30,0.0459
2007-03-31,0.0362
2006-12-31,0.0451
2006-09-30,0.0351
2006-06-30,0.0401
2006-03-31,0.0362
2005-12-31,0.0543
2005-09-30,0.0444
2005-06-30,0.0534
2005-03-31,0.0351
2004-12-31,0.0466
2004-09-30,0.0342
2004-06-30,0.0313
2004-03-31,0.0256
2003-12-31,0.0276
2003-09-30,0.0197
2003-06-30,0.0209
2003-03-31,0.0188
2002-12-31,0.0167
2002-09-30,0.0179
2002-06-30,0.0161
2002-03-31,0.0151
2001-12-31,0.0067
2001-09-30,0.016
2001-06-30,0.0247
2001-03-31,0.0236
2000-12-31,0.0333
2000-09-30,0.0294
2000-06-30,0.0305
2000-03-31,0.024
1999-12-31,0.0289
1999-09-30,0.0281
1999-06-30,0.0262
1999-03-31,0.0259
1998-12-31,0.0355
1998-09-30,0.0346
1998-06-30,0.0419
1998-03-31,0.0414
1997-12-31,0.0471
1997-09-30,0.0338
1997-06-30,0.0282
1997-03-31,0.0234
1996-12-31,0.0261
1996-09-30,0.0263
1996-06-30,0.0229
1996-03-31,0.024
1995-12-31,0.0109
1995-09-30,0.0206
1995-06-30,0.0208
1995-03-31,0.0211
1994-12-31,0.0188
1994-09-30,0.0151
1994-06-30,0.0154
1994-03-31,0.0131
1993-12-31,-0.0025
1993-09-30,0.011
1993-06-30,-0.0024
1993-03-31,0.0077
1992-12-31,-0.0281
1992-09-30,-0.0044
1992-06-30,-0.0103
1992-03-31,-0.0003
1991-12-31,-0.0533
1991-09-30,-0.0033
1991-06-30,0.0001
1991-03-31,0.0005
1990-12-31,-0.0143
1990-09-30,0.0084
1990-06-30,0.0152
1990-03-31,0.0138
1989-12-31,0.0175
1989-09-30,0.0205
1989-06-30,0.02
1989-03-31,0.0175
1988-12-31,0.0307
1988-09-30,0.0239
1988-06-30,0.02
1988-03-31,0.0184
1987-12-31,0.0267
1987-09-30,0.0209
1987-06-30,0.0119
1987-03-31,0.0183
1986-12-31,0.0257
1986-09-30,0.015
1986-06-30,0.0196
1986-03-31,0.0203
1985-12-31,0.0373
1985-09-30,0.0239
1985-06-30,0.026
1985-03-31,0.0208
1984-12-31,0.0421
1984-09-30,0.0246
1984-06-30,0.0316
1984-03-31,0.0335
1983-12-31,0.0531
1983-09-30,0.0296
1983-06-30,0.0254
1983-03-31,0.0175
1982-12-31,0.0304
1982-09-30,0.0152
1982-06-30,0.0207
1982-03-31,0.0249
1981-12-31,0.0529
1981-09-30,0.0321
1981-06-30,0.0423
1981-03-31,0.0296
